price,cpu,ram,ssd,graphic_ram,screen_size,stock_status,hdd,company,links
42989000,M1,8.0,256,0,13.0,new,0,apple,https://torob.com/p/a21d004e-e716-4ec8-adb7-d0e09c06d291/%D9%85%DA%A9-%D8%A8%D9%88%DA%A9-%D8%A7%DB%8C%D8%B1-8gb-ram-256gb-ssd-m1-mgn63/
96850000,M2,16.0,512,0,14.0,new,0,apple,https://torob.com/p/828fa09c-eaf5-4afe-84b8-6db1ffdf2dc2/%D9%85%DA%A9-%D8%A8%D9%88%DA%A9-%D9%BE%D8%B1%D9%88-14-%D8%A7%DB%8C%D9%86%DA%86-m2-%D9%BE%D8%B1%D9%88-2023-%D9%85%D8%AF%D9%84-mphe3ll-512gb/
59390000,M2,8.0,256,0,13.3,new,0,apple,https://torob.com/p/a5aacca8-e0cc-40a6-8572-984a174ef72c/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D8%A7%D9%BE%D9%84-133-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D9%85%D8%AF%D9%84-apple-macbook-pro-2022-mneh3-%D9%BE%D8%B1%D8%AF%D8%A7%D8%B2%D9%86%D8%AF%D9%87-m2-%D8%B1%D9%85-8gb-%D8%AD%D8%A7%D9%81%D8%B8%D9%87-256gb-ssd/
56590000,M2,8.0,256,0,13.6,new,0,apple,https://torob.com/p/933083cb-39b1-405f-a0fa-c300d22ca934/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D8%A7%D9%BE%D9%84-136-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D9%85%D8%AF%D9%84-apple-macbook-air-2022-midnight-mly33-%D9%BE%D8%B1%D8%AF%D8%A7%D8%B2%D9%86%D8%AF%D9%87-m2-%D8%B1%D9%85-8gb-%D8%AD%D8%A7%D9%81%D8%B8%D9%87-256gb-ssd/
87000000,M1,16.0,512,0,14.0,new,0,apple,https://torob.com/p/67025998-d60a-40be-98e6-bf547e11ce35/%D9%85%DA%A9-%D8%A8%D9%88%DA%A9-%D9%BE%D8%B1%D9%88-mkgp3-16gb-ram-512gb-ssd/
56300000,M2,8.0,256,0,13.6,new,0,apple,https://torob.com/p/ee853774-4671-448c-a14e-a50f7de40b60/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D9%85%DA%A9-%D8%A8%D9%88%DA%A9-%D8%A7%DB%8C%D8%B1-mly13-8gb-ram-256gb-ssd-m2/
103520000,M2,16.0,512,0,16.0,new,0,apple,https://torob.com/p/c7fa42f6-454c-4512-b45a-9496ae12cd06/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D8%A7%D9%BE%D9%84-16-%D8%A7%DB%8C%D9%86%DA%86-%D9%85%D8%AF%D9%84-2023-macbook-pro-m2-pro-mnw83/
92000000,M1,16.0,512,0,16.0,new,0,apple,https://torob.com/p/824e92cd-77b8-4fc4-9257-dd87134e1f01/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D8%A7%D9%BE%D9%84-16-%D8%A7%DB%8C%D9%86%DA%86-%D9%85%D8%AF%D9%84-mac-book-pro-16inch-mk183-%D9%BE%D8%B1%D8%AF%D8%A7%D8%B2%D9%86%D8%AF%D9%87-m1-pro-%D8%B1%D9%85-16gb-%D8%AD%D8%A7%D9%81%D8%B8%D9%87-512gb-ssd/
57299000,M2,8.0,256,0,13.3,new,0,apple,https://torob.com/p/698b7d1c-d3cd-4c40-af00-225e4a4b1a80/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D8%A7%D9%BE%D9%84-133-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D9%85%D8%AF%D9%84-apple-macbook-pro-2022-mnep3-%D9%BE%D8%B1%D8%AF%D8%A7%D8%B2%D9%86%D8%AF%D9%87-m2-%D8%B1%D9%85-8gb-%D8%AD%D8%A7%D9%81%D8%B8%D9%87-256gb-ssd/
70495000,M2,8.0,512,0,13.3,new,0,apple,https://torob.com/p/5339d1f6-9f10-491e-a6e7-0c2d8be92410/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D8%A7%D9%BE%D9%84-133-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D9%85%D8%AF%D9%84-apple-macbook-pro-2022-mnej3-%D9%BE%D8%B1%D8%AF%D8%A7%D8%B2%D9%86%D8%AF%D9%87-m2-%D8%B1%D9%85-8gb-%D8%AD%D8%A7%D9%81%D8%B8%D9%87-512gb-ssd/
55290000,M2,8.0,256,0,13.6,new,0,apple,https://torob.com/p/9791dfaf-be80-4833-86cd-8891540b28c9/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-136-%D8%A7%DB%8C%D9%86%DA%86-%D8%A7%D9%BE%D9%84-%D9%85%D8%AF%D9%84-macbook-air-mlxw3-m2-2022-lla/
43000000,M1,8.0,256,0,13.0,new,0,apple,https://torob.com/p/cf904f55-2ad6-4d95-9590-728651cdf7df/%D9%85%DA%A9-%D8%A8%D9%88%DA%A9-%D8%A7%DB%8C%D8%B1-8gb-ram-256gb-ssd-m1-mgnd3/
57630000,M1,8.0,256,0,13.0,new,0,apple,https://torob.com/p/29c10903-7d46-401e-afdd-81a54d0d77bc/%D9%85%DA%A9-%D8%A8%D9%88%DA%A9-%D9%BE%D8%B1%D9%88-8gb-ram-256gb-ssd-m1-myd82/
100000000,M1,16.0,1000,0,16.0,new,0,apple,https://torob.com/p/19247275-0f7d-4bc7-9889-3f0af298e6c6/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D8%A7%D9%BE%D9%84-mk193-16gb-ram-1tb-ssd-m1-pro/
