price,cpu,ram,ssd,graphic_ram,screen_size,stock_status,hdd,company,links
80000000,Core i7,16000.0,512,6000,15.6,new,1000,lenovo,https://torob.com/p/79be1572-e929-4d5d-a0de-2541de08b6d6/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D9%84%D9%86%D9%88%D9%88-legion-5-16gb-ram-1tb-hdd-512gb-ssd-i7-6gb-vga/
16000000,Core i3,0.0,0,0,14.0,stock,0,lenovo,https://torob.com/p/181d0dda-a35b-4a1e-a70c-7245608b9893/%D9%84%D9%BE%D8%AA%D8%A7%D9%BE-%D8%A7%D8%B3%D8%AA%D9%88%DA%A9-14-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D9%84%D9%86%D9%88%D9%88-%D9%84%D9%85%D8%B3%DB%8C-%D9%85%D8%AF%D9%84-thinkpad-x1-yoga/
82900000,Core i5,0.0,0,0,16.1,new,0,apple,https://torob.com/p/2d69bc8e-40c3-4143-9c5e-8362b9efb5c5/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D8%A7%D9%BE%D9%84-%D9%85%DA%A9-%D8%A8%D9%88%DA%A9-%D9%BE%D8%B1%D9%88-macbook-pro-2019-core-i9-32g-2tb-ssd-4g-amd-161-inch-retina/
7200000,Core i3,0.0,0,0,13.0,new,0,apple,https://torob.com/p/844ab554-1825-4a4c-bf76-f458774ea579/%D9%85%DA%A9-%D8%A8%D9%88%DA%A9-%D9%BE%D8%B1%D9%88-13-%D8%A7%DB%8C%D9%86%DA%86-core-2-%D8%A7%D9%BE%D9%84-%D9%85%D8%AF%D9%84-a1342-%D8%B3%D8%A7%D9%84-2010/
34800000,Ryzen 5,16000.0,1000,4000,16.0,new,0,hp,https://torob.com/p/e4b9b537-7b7a-4b6a-a30f-38c9a997c6e9/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%DA%AF%DB%8C%D9%85%DB%8C%D9%86%DA%AF-16-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-hp-%D9%85%D8%AF%D9%84-omen-16-c0-ryzen-5/
120500000,Core i9,16000.0,1000,8000,13.4,new,0,asus,https://torob.com/p/92c3807f-45f4-4437-9bc0-a192e8ce9cf3/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%DA%AF%DB%8C%D9%85%DB%8C%D9%86%DA%AF-%D8%A7%DB%8C%D8%B3%D9%88%D8%B3-%D8%B1%D8%A7%DA%AF-%D9%85%D8%AF%D9%84-asus-rog-flow-z13-2023-i9-13900h-rtx4060-16gb-1tb-165hz/
5800000,Core i5,4000.0,0,0,15.0,stock,0,asus,https://torob.com/p/89d29b7f-b5c0-40e2-a598-712696765023/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D8%A7%D8%B3%D8%AA%D9%88%DA%A9-%D8%A7%DB%8C%D8%B3%D9%88%D8%B3-asus-n53s/
26300000,Core i7,16000.0,512,4000,15.6,new,0,dell,https://torob.com/p/1b94c6d0-264f-4da6-b0a5-3db2c4896fb7/%D9%84%D9%BE-%D8%AA%D8%A7%D8%A8-%D9%88%D8%B1%DA%A9-%D8%A7%D8%B3%D8%AA%DB%8C%D8%B4%D9%86-%D8%AF%D9%84-%D9%85%D8%AF%D9%84-dell-7530-ram-16-gb-ddr4-512-gb-ssd-i7-4-gb/
6900000,Core i5,4000.0,0,0,14.0,stock,0,dell,https://torob.com/p/6ca5dfcd-97bf-4525-a5b5-a63d11e09045/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D8%A7%D8%B3%D8%AA%D9%88%DA%A9-%D8%AF%D9%84-6440-i5/
53000000,Core i7,16000.0,512,4000,15.6,new,0,asus,https://torob.com/p/e7f92c71-ec66-4fca-8a3c-9084578b669f/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D8%A7%DB%8C%D8%B3%D9%88%D8%B3-tuf-fx507ze-16gb-ram-512gb-ssd-i7-12700h-vga-3050ti-4gb/
